"country","year","status","life_expectancy","adult_mortality","alcohol","percentage_expenditure","bmi","total_expenditure","gdp","population","income_composition_of_resources","schooling","code","meningitis","alzheimer_s_disease_and_other_dementias","parkinson_s_disease","nutritional_deficiencies","malaria","drowning","interpersonal_violence","maternal_disorders","hiv_aids","drug_use_disorders","tuberculosis","cardiovascular_diseases","lower_respiratory_infections","neonatal_disorders","alcohol_use_disorders","self_harm","exposure_to_forces_of_nature","diarrheal_diseases","environmental_heat_and_cold_exposure","neoplasms","conflict_and_terrorism","diabetes_mellitus","chronic_kidney_disease","poisonings","protein_energy_malnutrition","road_injuries","chronic_respiratory_diseases","cirrhosis_and_other_chronic_liver_diseases","digestive_diseases","fire_heat_and_hot_substances","acute_hepatitis","measles_abs","infant_deaths_abs","under_five_deaths_abs","hepatitis_b_abs","polio_abs","diphtheria_abs","thinness_1_19_abs","thinness_5_9_abs"
"mexico",2010,"Developing",75.6,127,5.21,1033.039737,6.1,6.39,8959.581416,117318941,0.739,12.5,"MEX",530,16367,3479,7309,3,2705,21227,1217,5694,425,2668,121289,18659,19304,3802,6189,206,4677,134,79007,88,48948,52750,495,6569,20368,29249,34581,53152,954,269,0,4106162.935,4692757.64,109106615.13,111452993.95,111452993.95,1877103.056,1877103.056
"mexico",2011,"Developing",76.1,124,5.3,1117.196097,6.8,6.4,9834.472689,119917,0.745,12.6,"MEX",504,17059,3551,7118,3,2568,23227,1162,5711,421,2579,123652,18725,18570,3764,6270,149,4576,141,79957,241,49998,53714,483,6406,19792,29432,34604,53547,941,267,359.751,4077.178,4676.763,117518.66,116319.49,116319.49,1918.672,1918.672
"mexico",2012,"Developing",76.3,123,5.29,112.696486,61.5,6.21,982.532572,1282837,0.748,12.7,"MEX",497,17797,3690,7055,3,2473,23246,1159,5603,421,2510,128171,19142,17831,3787,6395,32,4552,133,82363,30,52328,55721,466,6344,19591,30183,35306,54911,917,267,0,42333.621,48747.806,1270008.63,1270008.63,1270008.63,20525.392,19242.555
"mexico",2013,"Developing",76.6,12,5.23,150.408875,62.1,6.3,1298.86766,122535969,0.753,12.9,"MEX",516,18605,3952,7227,2,2455,23303,1139,5460,445,2569,137676,20206,17019,3895,6791,220,4650,139,87008,102,56724,59238,469,6477,19919,32047,37382,58155,936,266,0,3921151.008,4533830.853,100479494.58,101704854.27,101704854.27,1960575.504,1838039.535
"mexico",2014,"Developing",76.6,122,5.26,168.173753,62.8,6.3,1452.27766,1242216,0.754,13.1,"MEX",526,19229,4096,7114,2,2407,22587,1134,5311,455,2544,143034,20798,16170,4010,7027,54,4660,141,89821,38,59888,60822,458,6364,19895,32846,38330,59660,937,253,3726.648,38508.696,44719.776,1043461.44,1080727.92,1080727.92,19875.456,18633.24
"mexico",2015,"Developing",76.7,122,4.60286078717201,0,63.5,5.9381895280236,9143.128494,12589949,0.758,13.3,"MEX",533,19798,4205,6974,2,2372,23459,1070,5300,474,2521,146828,20894,15390,4048,7170,53,4679,144,91814,23,61729,62551,466,6238,19885,33364,39202,61011,944,245,0,377698.47,440648.215,10323758.18,10953255.63,10953255.63,188849.235,188849.235
"micronesia (federated states of)",2000,"Developing",67,185,2.23,0,61.5,7.88,7483.15846913847,12753375.1200525,0,0,"FSM",3,6,4,5,0,13,10,5,6,1,19,262,47,31,1,24,0,37,1,83,0,68,36,1,4,24,62,18,34,2,1,0,0,0,11095436.3544457,10840368.8520447,10840368.8520447,38260.1253601576,38260.1253601576
"micronesia (federated states of)",2001,"Developing",67.2,183,2.82,0,62,8.58,7483.15846913847,12753375.1200525,0.604,10.1,"FSM",3,6,4,4,0,13,10,5,6,1,18,263,45,29,1,24,0,16,1,84,0,71,38,1,4,24,60,18,33,2,1,0,0,0,10330233.8472426,10075166.3448415,9565031.34003941,38260.1253601576,25506.7502401051
"micronesia (federated states of)",2002,"Developing",66.2,21,2.78,0,62.4,8.2,7483.15846913847,12753375.1200525,0.608,10.2,"FSM",3,7,4,4,0,13,10,4,6,1,17,265,43,26,2,24,47,15,1,84,0,74,39,1,4,23,59,18,32,2,1,0,0,0,10840368.8520447,10712835.1008441,10712835.1008441,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2003,"Developing",67.5,18,3.15,0,62.8,9.69,7483.15846913847,12753375.1200525,0.612,10.4,"FSM",3,7,4,4,0,13,9,4,7,1,16,266,42,24,2,23,0,14,1,85,0,76,40,1,4,23,58,18,32,2,1,0,0,0,11350503.8568468,11222970.1056462,11733105.1104483,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2004,"Developing",67.7,179,2.02,0,63.2,1.64,7483.15846913847,12753375.1200525,0.616,10.5,"FSM",3,7,4,4,0,13,9,4,7,1,15,268,42,23,2,23,1,13,1,86,0,80,42,1,4,23,57,17,32,2,1,0,0,0,1020270.0096042,10457767.5984431,9947632.59364098,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2005,"Developing",67.9,178,1.9,0,63.6,12.11,7483.15846913847,12753375.1200525,0.617,10.7,"FSM",2,7,4,4,0,13,9,4,9,1,14,269,41,22,2,23,0,12,0,87,0,83,43,1,3,23,56,17,31,2,1,0,0,0,11605571.3592478,11988172.6128494,11988172.6128494,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2006,"Developing",68,176,1.73,0,64.1,11.92,7483.15846913847,12753375.1200525,0.622,10.9,"FSM",2,7,4,3,0,13,9,4,10,1,14,272,41,20,2,23,0,12,0,89,0,83,44,1,3,23,55,17,31,2,1,0,0,0,10712835.1008441,10330233.8472426,8544761.3304352,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2007,"Developing",68.2,175,1.64,0,64.7,11.99,7483.15846913847,12753375.1200525,0.625,11,"FSM",2,7,4,3,0,13,9,4,11,1,13,277,41,19,2,23,0,11,0,90,0,84,44,1,3,23,55,18,31,2,1,0,0,0,1147803.76080473,10075166.3448415,10075166.3448415,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2008,"Developing",68.4,174,1.97,0,65.2,12.94,7483.15846913847,12753375.1200525,0.628,11.2,"FSM",2,7,4,3,0,13,9,3,13,1,13,282,40,18,2,23,0,11,0,92,0,85,44,1,3,23,55,18,31,1,0,0,0,0,11350503.8568468,11222970.1056462,10840368.8520447,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2009,"Developing",68.5,172,2.06,0,65.8,13.44,7483.15846913847,12753375.1200525,0.629,11.4,"FSM",2,7,4,3,0,12,9,3,15,1,13,287,40,17,2,23,0,11,0,94,0,85,44,1,3,23,55,18,31,1,0,0,0,0,11350503.8568468,10330233.8472426,11605571.3592478,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2010,"Developing",68.7,171,1.76,0,66.4,13.83,7483.15846913847,12753375.1200525,0.633,11.5,"FSM",2,7,4,3,0,12,9,3,17,1,13,291,39,16,2,23,0,10,0,95,0,86,43,1,3,22,55,18,32,1,0,0,0,0,11222970.1056462,10840368.8520447,10840368.8520447,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2011,"Developing",68.9,169,1.89,0,67,13.76,7483.15846913847,12753375.1200525,0.638,11.7,"FSM",2,7,4,3,0,12,9,3,19,1,13,295,39,15,2,23,0,10,0,96,0,88,44,1,3,22,55,18,32,1,0,0,0,0,10585301.3496436,10585301.3496436,10712835.1008441,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2012,"Developing",69,168,2.98,0,67.5,12.77,7483.15846913847,12753375.1200525,0.64,11.7,"FSM",2,7,4,3,0,12,9,3,21,1,13,298,39,14,2,23,0,10,0,98,0,90,44,1,3,22,55,18,32,1,0,0,0,0,10457767.5984431,10330233.8472426,10330233.8472426,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2013,"Developing",69.2,166,1.67,0,68.1,13.38,7483.15846913847,12753375.1200525,0.641,11.7,"FSM",2,7,5,3,0,12,9,3,23,1,12,303,38,13,2,23,0,10,0,100,0,93,44,1,3,22,55,18,32,1,0,0,0,0,10585301.3496436,10330233.8472426,10330233.8472426,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2014,"Developing",69.4,164,1.58,0,68.7,13.71,7483.15846913847,12753375.1200525,0.639,11.7,"FSM",2,7,5,3,0,12,9,3,27,1,12,308,38,12,2,23,0,10,0,102,0,96,45,1,3,22,55,19,32,1,0,1785472.51680736,0,0,10330233.8472426,9692565.09123993,9820098.84244046,25506.7502401051,25506.7502401051
"micronesia (federated states of)",2015,"Developing",69.4,166,4.60286078717201,0,69.4,5.9381895280236,7483.15846913847,12753375.1200525,0.637,11.7,"FSM",2,7,5,3,0,12,9,3,31,1,12,312,38,12,2,23,5,9,0,103,0,99,46,1,3,22,55,19,33,1,0,0,0,0,9947632.59364098,9054896.3352373,9182430.08643783,25506.7502401051,25506.7502401051
"mongolia",2000,"Developing",62.8,274,2.79,56.431387,38.5,4.92,474.2133361,2397436,0.582,8.9,"MNG",169,135,43,25,0,160,310,88,4,11,556,7803,1641,994,92,520,23,232,254,3425,0,82,449,206,2,407,531,976,1489,73,70,2217628.3,4794.872,7192.308,2229615.48,2253589.84,2253589.84,62333.336,62333.336
"mongolia",2001,"Developing",63.2,266,2.87,61.84921903,39.1,5.45,524.145924,2419776,0.588,9.4,"MNG",128,134,43,24,0,160,315,77,4,11,551,7965,1469,973,121,530,16,188,254,3510,0,86,417,171,2,435,515,1022,1521,77,58,25835948.352,4839.552,7259.328,2298787.2,2298787.2,2298787.2,60494.4,62914.176
"mongolia",2002,"Developing",63.8,263,2.43,55.60878216,39.8,5.81,571.51883,2443659,0.599,10.1,"MNG",99,133,41,22,0,162,320,68,5,11,540,7925,1333,959,162,540,2,155,255,3534,0,87,383,144,2,467,487,1058,1542,84,50,2944609.095,4887.318,4887.318,2394785.82,2394785.82,2394785.82,58647.816,61091.475
"mongolia",2003,"Developing",64,271,1.31,56.05686428,4.5,6.18,646.561295,2469286,0.609,10.5,"MNG",78,130,40,21,0,164,322,62,5,12,525,7865,1220,960,215,555,16,131,254,3583,0,89,357,124,1,505,461,1099,1571,90,44,44447.148,4938.572,4938.572,2419900.28,2419900.28,2419900.28,59262.864,61732.15
"mongolia",2004,"Developing",64,284,1.75,73.24150483,41.3,5.99,797.8377432,2496832,0.621,11.2,"MNG",65,128,38,20,0,171,333,59,5,13,518,7753,1118,965,275,586,0,111,256,3633,0,91,338,112,1,548,435,1132,1593,97,39,0,4993.664,4993.664,2446895.36,2471863.68,2471863.68,57427.136,59923.968
"mongolia",2005,"Developing",64.5,274,2.75,98.68367951,42.1,5.9,998.8226671,2526446,0.637,11.8,"MNG",51,126,38,19,0,171,334,55,5,14,513,7749,1017,961,335,607,0,97,257,3727,0,94,327,103,1,577,420,1166,1622,100,36,0,5052.892,5052.892,2475917.08,2501181.54,2501181.54,58108.258,60634.704
"mongolia",2006,"Developing",65,271,2.91,122.1206485,43,4.68,1334.651896,255812,0.649,12.7,"MNG",43,128,38,19,0,169,328,51,6,14,502,7745,942,966,386,605,0,86,256,3834,0,96,317,95,1,588,408,1195,1647,103,32,6651.112,511.624,511.624,250695.76,250695.76,253253.88,5627.864,6139.488
"mongolia",2007,"Developing",65.9,26,3.79,126.698109,43.9,5.6,1634.81431,259167,0.661,13,"MNG",38,128,37,18,0,172,321,49,6,15,484,7582,884,980,430,611,0,78,253,3914,0,96,307,89,1,602,392,1209,1654,106,29,3110.004,518.334,518.334,253983.66,256575.33,246208.65,5701.674,6220.008
"mongolia",2008,"Developing",67.4,225,4.26,181.0123284,44.9,5.58,2139.625631,2628131,0.673,13.4,"MNG",34,129,37,17,0,170,306,48,6,15,464,7564,835,994,463,613,52,74,247,4036,0,98,301,85,1,612,385,1233,1676,106,28,81472.061,5256.262,5256.262,2523005.76,2496724.45,2523005.76,57818.882,60447.013
"mongolia",2009,"Developing",66.9,235,4.61,134.1678932,45.9,5.29,1717.898761,2668289,0.686,13.8,"MNG",32,131,38,17,0,166,294,50,7,16,452,7769,801,1006,497,613,26,71,245,4229,0,102,304,82,1,615,388,1274,1722,106,26,21346.312,2668.289,5336.578,2588240.33,2561557.44,2534874.55,58702.358,61370.647
"mongolia",2010,"Developing",66.3,25,5.8,22.31624272,46.9,4.7,265.353659,271265,0.693,14.3,"MNG",30,134,38,16,0,165,300,50,8,16,446,7891,770,1010,535,621,11,69,249,4401,0,106,305,81,1,626,386,1314,1769,107,25,1898.855,271.265,542.53,260414.4,260414.4,260414.4,5967.83,6239.095
"mongolia",2011,"Developing",67.3,235,0.01,257.8403154,48,4.45,3769.595255,2761516,0.701,14.6,"MNG",29,142,40,16,0,165,302,51,9,17,439,8023,748,992,537,625,0,68,246,4543,0,109,312,83,1,627,389,1335,1795,106,24,0,2761.516,5523.032,2733900.84,2733900.84,2733900.84,60753.352,63514.868
"mongolia",2012,"Developing",67.8,231,0.01,253.8285861,49.2,4.22,4368.82248,2814226,0.712,14.7,"MNG",29,148,40,16,0,163,296,50,10,17,427,8009,730,962,535,618,0,67,244,4633,0,109,315,83,1,626,385,1347,1808,105,23,0,2814.226,5628.452,2786083.74,2786083.74,2786083.74,61912.972,64727.198
"mongolia",2013,"Developing",68.1,227,0.01,241.1958645,5.4,4.21,4385.379355,286917,0.72,14.7,"MNG",29,156,40,15,0,165,298,49,11,17,410,7973,706,925,534,611,0,67,241,4734,0,111,317,83,1,621,379,1362,1826,104,21,0,286.917,286.917,281178.66,281178.66,281178.66,6312.174,6599.091
"mongolia",2014,"Developing",68.4,225,0.01,281.0023992,51.5,4.73,4181.583321,2923896,0.729,14.8,"MNG",28,163,39,15,0,166,297,46,12,17,397,7903,670,865,537,611,0,65,241,4827,0,112,320,84,0,621,373,1382,1848,103,20,0,2923.896,2923.896,2894657.04,2894657.04,2894657.04,64325.712,67249.608
"mongolia",2015,"Developing",68.8,222,4.60286078717201,0,52.7,5.9381895280236,3944.1839,2976877,0.733,14.8,"MNG",26,172,40,15,0,163,295,44,12,17,387,8060,590,739,543,605,0,59,246,4985,0,116,328,84,0,632,376,1419,1887,98,18,60606238.843,2976.877,2976.877,2947108.23,2947108.23,2947108.23,65491.294,68468.171
"montenegro",2000,"Developing",73,144,0.01,274.5472605,51.9,7.32,1627.42893,6495,0,0,"MNE",3,136,32,1,0,16,34,1,3,2,8,3069,64,72,8,126,0,1,6,1237,1,116,95,5,1,76,65,45,132,14,0,0,0,0,5257.08295597484,5361.63473792395,5346.94922918808,168.87,175.365
"montenegro",2001,"Developing",73.3,136,0.01,33.66981355,52.7,8.23,199.583957,67389,0,0,"MNE",3,137,33,1,0,15,33,1,3,1,8,3144,63,71,9,124,0,1,6,1282,1,119,98,5,1,72,66,46,135,14,0,0,0,0,54544.967408805,55629.7464748202,55477.3766906475,1684.725,1752.114
"montenegro",2002,"Developing",73.4,136,0.01,36.48024032,53.5,8.33,216.243274,69828,0,0,"MNE",2,140,35,1,0,14,32,1,3,1,8,3230,63,65,9,122,0,1,6,1325,0,124,103,4,1,69,68,47,139,13,0,0,0,0,56519.1052578616,57643.1455704008,57485.2610894142,1745.7,1745.7
"montenegro",2003,"Developing",73.5,134,0.01,495.0782963,54.2,8.91,2789.1735,612267,0,0,"MNE",2,143,36,1,0,13,31,1,3,1,7,3357,65,60,9,126,0,1,6,1370,0,129,108,4,1,71,70,48,143,14,0,0,0,0,495571.733672956,505427.562137718,504043.196875642,14694.408,14694.408
"montenegro",2004,"Developing",73.5,134,0.01,57.12190146,55,8.45,338.199535,613353,0.74,12.6,"MNE",2,145,38,1,0,14,30,1,3,1,7,3465,65,54,9,128,0,1,6,1406,0,131,112,4,1,72,73,48,146,14,0,0,0,0,496450.747081761,506324.057183967,504937.236423433,14107.119,14720.472
"montenegro",2005,"Developing",73.6,133,4.60286078717201,527.3076721,55.7,8.46,3674.617924,614261,0.746,12.8,"MNE",2,147,40,1,0,14,29,1,3,1,7,3571,67,50,9,132,0,1,6,1442,0,134,116,4,1,75,76,49,149,14,0,0,0,0,497185.686469602,507073.612894827,505684.739102432,14128.003,14128.003
"montenegro",2006,"Developing",73.8,13,5.38,595.7306923,56.5,8.1,4383.59597,61525,0.751,13.2,"MNE",2,150,42,1,0,13,28,1,2,1,7,3647,67,45,9,134,0,1,6,1462,0,136,117,4,1,77,77,49,151,14,0,0,0,0,5537.25,5537.25,5537.25,1353.55,1353.55
"montenegro",2007,"Developing",74.2,125,4.98,678.5188944,57.2,6.74,5957.145693,615875,0.762,13.6,"MNE",2,151,44,1,0,13,27,1,2,1,6,3724,67,40,9,132,0,1,6,1477,0,138,118,4,1,76,78,49,152,14,0,0,0,0,55428.75,566605,566605,12933.375,13549.25
"montenegro",2008,"Developing",74.6,121,6.17,709.1311228,57.8,6.13,7325.73474,616969,0.774,14.2,"MNE",2,152,46,1,0,12,26,1,2,1,6,3753,67,38,9,129,0,1,6,1491,0,138,119,4,1,73,78,49,152,13,0,0,0,0,573781.17,586120.55,586120.55,12956.349,12956.349
"montenegro",2009,"Developing",75,117,6.45,489.6818699,58.5,6.7,6698.79439,618294,0.785,14.6,"MNE",2,154,47,1,0,12,25,1,2,1,6,3783,67,34,9,127,0,1,6,1507,0,139,119,4,1,71,79,49,153,13,0,0,0,0,537915.78,562647.54,568830.48,12365.88,12984.174
"montenegro",2010,"Developing",75.3,115,6.56,635.4849381,59.1,6.9,6682.281158,619428,0.787,15,"MNE",2,156,48,1,0,11,24,1,2,1,5,3784,67,32,8,122,0,1,6,1512,0,140,119,4,1,66,79,49,152,13,0,3097.14,0,0,55748.52,576068.04,582262.32,12388.56,12388.56
"montenegro",2011,"Developing",75.4,113,6.56,666.7374371,59.7,6.92,7318.742449,6279,0.792,15.1,"MNE",2,159,50,1,0,10,24,1,2,1,5,3816,67,26,8,120,0,1,5,1528,0,142,120,4,1,64,80,49,152,13,0,31.395,0,0,5713.89,5965.05,5965.05,119.301,125.58
"montenegro",2012,"Developing",75.6,11,0.01,648.1331781,6.2,7.25,6586.71929,6261,0.797,15.1,"MNE",1,163,51,1,0,10,23,1,2,1,5,3837,67,24,8,118,0,1,6,1534,0,143,120,3,1,63,82,48,151,13,0,0,0,0,563.49,5885.34,5885.34,118.959,118.959
"montenegro",2013,"Developing",75.8,19,0.01,707.144691,6.7,6.43,7186.429787,62127,0.799,15.1,"MNE",1,167,53,1,0,11,23,1,2,1,5,3902,69,22,8,118,0,1,5,1559,0,146,123,3,1,63,84,49,152,13,0,0,0,0,5591.43,58399.38,58399.38,1118.286,1180.413
"montenegro",2014,"Developing",75.9,17,0.01,726.0291764,61.3,6.42,7378.345289,62181,0.803,15.1,"MNE",1,170,55,1,0,11,23,1,2,1,5,3979,70,21,8,118,0,1,5,1586,0,149,125,4,1,63,86,49,153,13,0,0,0,0,54097.47,56584.71,56584.71,1119.258,1181.439
"montenegro",2015,"Developing",76.1,16,4.60286078717201,0,61.8,5.9381895280236,6461.192554,622159,0.804,15.1,"MNE",1,174,56,1,0,10,22,0,2,1,5,4039,71,16,8,117,0,1,5,1607,0,152,127,3,1,62,87,50,154,13,0,0,0,0,510170.38,553721.51,553721.51,11198.862,11198.862
"morocco",2000,"Developing",68.6,16,0.45,63.42140024,44.8,4.18,1332.382358,28849621,0.519,8,"MAR",1173,2696,606,362,0,649,432,1517,532,214,5955,73717,8811,16371,85,2594,6,5726,119,14921,0,2635,4851,312,327,10659,6273,3226,5483,1063,544,212564007.528,778939.767,923187.872,12405337.03,27407139.95,27407139.95,1932924.607,1904074.986
"morocco",2001,"Developing",69,155,0.46,71.11645,45.7,4.44,1336.775376,29181832,0.53,8.5,"MAR",1137,2808,616,350,0,629,456,1286,603,225,5855,73896,8497,16002,86,2652,15,5341,117,15263,0,2787,4967,311,315,10578,6284,3226,5483,1036,521,79491310.368,758727.632,875454.96,24512738.88,27139103.76,28014558.72,1955182.744,1896819.08
"morocco",2002,"Developing",69.5,15,0.46,66.72933871,46.5,5.31,1413.757176,29512368,0.54,8.8,"MAR",1106,2952,649,333,0,608,462,1139,677,232,5731,75065,8299,15689,86,2661,80,5008,116,15638,1,2957,5175,309,297,10381,6393,3256,5552,1058,496,177074208,737809.2,855858.672,27151378.56,27741625.92,27741625.92,1947816.288,1918303.92
"morocco",2003,"Developing",69.9,146,0.58,88.16506179,47.3,5.25,1721.973863,29843937,0.551,9.3,"MAR",1072,3111,709,330,0,591,471,1004,749,241,5693,78456,8170,15268,88,2708,35,4682,117,16300,77,3191,5502,308,292,10405,6690,3334,5703,996,485,323538121.017,716254.488,835630.236,2685954.33,27157982.67,27157982.67,1969699.842,1910011.968
"morocco",2004,"Developing",72,142,0.56,100.3638322,48.2,5.22,1948.812275,3179285,0.561,9.6,"MAR",1029,3253,742,321,0,570,469,929,776,248,5653,80401,7994,14737,89,2726,628,4416,117,16803,0,3390,5702,305,282,10297,6835,3367,5767,977,470,20344244.715,73123.555,85840.695,3020320.75,3083906.45,3083906.45,206653.525,203474.24
"morocco",2005,"Developing",77,137,0.47,9.469371264,49.1,5.6,213.755559,35217,0.569,9.8,"MAR",970,3408,782,314,0,552,466,918,781,255,5602,82674,7825,14188,90,2749,3,4153,117,17335,0,3597,5903,302,275,10215,7008,3413,5850,964,457,0,774.774,915.642,33808.32,34512.66,34512.66,2289.105,2218.671
"morocco",2006,"Developing",71,133,0.58,127.7632005,49.9,5.23,2191.478567,3869346,0.575,10,"MAR",903,3563,826,302,0,537,465,890,809,264,5539,85163,7652,13531,92,2770,17,3890,117,17923,2,3813,6132,299,262,10130,7196,3467,5936,952,444,4708994.082,85125.612,96733.65,3675878.7,3753265.62,3753265.62,247638.144,243768.798
"morocco",2007,"Developing",71.4,128,0.56,157.6431445,5.8,5.48,2494.353552,31225881,0.581,10,"MAR",857,3728,870,296,0,527,463,860,846,276,5505,87876,7490,12711,94,2824,2,3641,117,18575,2,4035,6379,298,255,10200,7397,3540,6056,948,434,70195780.488,655743.501,780647.025,29664586.95,29664586.95,29664586.95,1998456.384,1967230.503
"morocco",2008,"Developing",71.8,123,0.51,171.3658969,51.7,5.41,2884.94776,31596855,0.589,10.3,"MAR",842,3880,906,282,0,526,458,811,877,288,5424,89746,7434,12178,96,2865,39,3466,118,19150,0,4217,6584,299,241,10282,7536,3599,6149,950,423,45973424.025,663533.955,758324.52,30648949.35,31280886.45,31280886.45,2022198.72,1990601.865
"morocco",2009,"Developing",72.3,116,0.62,188.2902861,52.7,5.67,2861.5545,31989897,0.596,10.5,"MAR",818,4031,940,270,0,522,452,830,882,299,5301,91495,7309,11523,97,2891,30,3263,118,19735,0,4394,6798,297,229,10313,7663,3659,6238,946,411,26679574.098,639797.94,735767.631,31350099.06,31669998.03,31669998.03,2047353.408,1983373.614
"morocco",2010,"Developing",72.8,11,0.56,183.6592186,53.6,5.86,2834.2472,3249639,0.603,10.7,"MAR",756,4183,974,259,0,509,446,822,897,311,5143,93006,7105,10832,99,2908,42,2976,117,20312,14,4570,7010,292,218,10293,7761,3712,6309,935,402,2057021.487,64992.78,74741.697,3184646.22,3217142.61,3217142.61,204727.257,201477.618
"morocco",2011,"Developing",73.3,14,0.54,22.0945504,54.6,5.99,339.91616,32858823,0.612,11.2,"MAR",674,4327,1008,250,0,488,438,805,929,322,4972,94564,6872,10060,100,2883,0,2680,115,20906,18,4742,7181,285,208,10248,7853,3764,6371,918,393,32267364.186,624317.637,722894.106,32201646.54,32201646.54,32530234.77,2070105.849,2037247.026
"morocco",2012,"Developing",73.6,99,0.55,19.15853732,55.5,6.15,294.746728,33333789,0.623,11.6,"MAR",596,4496,1050,243,0,472,429,789,920,334,4828,96921,6735,9452,102,2818,0,2451,114,21615,1,4929,7398,280,202,10230,8005,3842,6479,905,389,22266971.052,633341.991,733343.358,33000451.11,33000451.11,33000451.11,2100028.707,2066694.918
"morocco",2013,"Developing",73.9,97,0.45,179.8598949,56.5,5.94,3111.762887,33824769,0.634,12.1,"MAR",545,4671,1240,251,0,430,393,768,865,335,4726,107171,7000,8802,103,2628,0,2279,117,23325,2,5383,8197,265,207,9336,8929,4152,7020,880,400,3111878.748,608845.842,710320.149,33486521.31,33486521.31,33486521.31,2164785.216,2097135.678
"morocco",2014,"Developing",74.1,96,0.43,198.7343495,57.5,5.91,3154.513484,3431882,0.64,12.1,"MAR",516,4680,1254,242,0,428,391,741,789,347,4625,108079,6863,8158,104,2567,60,2159,116,23982,3,5554,8366,263,197,9357,8941,4195,7053,876,397,34318.82,61773.876,72069.522,3397563.18,3397563.18,3397563.18,219640.448,212776.684
"morocco",2015,"Developing",74.3,95,4.60286078717201,0,58.5,5.9381895280236,2847.285569,3483322,0.645,12.1,"MAR",486,4700,1270,241,0,415,385,708,728,358,4502,109198,6687,7502,105,2536,0,1984,114,24665,4,5737,8542,257,197,9322,8956,4236,7081,863,394,59216.474,59216.474,69666.44,3448488.78,3448488.78,3448488.78,222932.608,215965.964
"mozambique",2000,"Developing",49,43,1.14,47.17250718,16.5,6.16,277.6486591,1867687,0.291,5.4,"MOZ",4624,914,198,7997,31062,779,741,1421,44118,32,18956,18015,19416,25974,132,1189,832,19849,126,7275,1,2496,1754,530,7754,3387,3010,2046,4444,579,706,13774191.625,173694.891,254005.432,1511714.47187002,1288704.03,130738.09,78442.854,76575.167
"mozambique",2001,"Developing",49.5,48,2.09,37.82511936,16.9,5.64,256.4414872,18588758,0.298,5.8,"MOZ",4547,933,199,7324,31997,732,785,1360,50982,33,18671,18078,18747,25978,134,1198,79,18084,124,7280,0,2506,1766,517,7105,3361,2991,2040,4449,566,641,131701350.43,1672988.22,2453716.056,4647189.5,13383905.76,13569793.34,762139.078,743550.32
"mozambique",2002,"Developing",49.8,416,2.16,40.82597077,17.3,6.45,262.884551,19139658,0.311,6.2,"MOZ",4438,974,207,6746,31173,689,830,1371,57876,35,18704,18662,18282,25954,139,1239,3,16676,124,7435,7,2584,1802,512,6540,3389,3013,2091,4567,560,569,136944252.99,1665150.246,2430736.566,14546140.08,14546140.08,14546140.08,765586.32,765586.32
"mozambique",2003,"Developing",51,424,1.68,42.52689559,17.7,6.39,283.8911588,19716598,0.318,6.7,"MOZ",4326,998,210,6187,30454,672,894,1379,64331,37,18694,19129,17736,25882,143,1284,49,15422,124,7605,0,2651,1825,507,5993,3434,3018,2115,4652,554,505,569770249.004,1675910.83,2444858.152,14984614.48,13210120.66,16759108.3,788663.92,768947.322
"mozambique",2004,"Developing",54,429,1.54,46.58195631,18.1,5.91,336.3318145,231275,0.332,7,"MOZ",4186,1034,217,5764,28274,682,994,1419,70176,40,18941,19958,17486,25843,150,1352,0,14499,126,7879,3,2764,1872,511,5576,3532,3062,2175,4812,557,470,2173059.9,18964.55,27753,175769,159579.75,191958.25,9019.725,8788.45
"mozambique",2005,"Developing",58,434,1.23,67.33378735,18.5,6.87,369.1545359,29237,0.341,7.3,"MOZ",4179,1072,224,5397,26154,657,1125,1513,75008,44,19257,20910,17251,25864,158,1439,5,13747,129,8203,12,2901,1930,518,5213,3664,3110,2261,5007,565,461,368327.726,2338.96,3420.729,21927.75,20758.27,2338.96,1140.243,1111.006
"mozambique",2006,"Developing",51.2,434,1.2,58.59644487,18.9,6.51,385.7567141,21547463,0.353,7.9,"MOZ",4901,1118,233,5812,27786,760,1283,1598,74473,48,20049,21914,18505,26059,165,1523,15,14497,138,8681,3,3048,2005,568,5622,3945,3231,2356,5285,632,478,3943185.729,1680702.114,2434863.319,16160597.25,15729647.99,16807021.14,818803.594,797256.131
"mozambique",2007,"Developing",52.1,425,1.03,53.9502789,19.3,5.25,422.1461573,22188387,0.36,8.2,"MOZ",4792,1147,239,5661,27928,813,1452,1731,70876,55,20629,22813,18653,26102,173,1618,54,13983,143,9078,6,3188,2056,587,5472,4123,3285,2435,5475,654,488,5924299.329,1641940.638,2396345.796,16641290.25,16641290.25,16641290.25,843158.706,820970.319
